Algorithms,MaxCost,TimeTaken,Parameters
BruteForce,1366,219.240000,31
DecreaseAndConquer,1366,10.983000,31
DivideAndConquer,1366,11.340000,31
TransformAndConquer,1366,0.000000,31
SpaceAndTimeTradeOffs,1366,0.000000,31
DynamicProgramming,1366,0.000000,31
IterativeImprovement,1366,0.000000,31
Greedy,1366,0.000000,31
GeneticAlgorithm,1366,0.154000,31
BruteForce,1163,444.632000,32
DecreaseAndConquer,1163,21.717000,32
DivideAndConquer,1163,22.334000,32
TransformAndConquer,1163,0.000000,32
SpaceAndTimeTradeOffs,1163,0.000000,32
DynamicProgramming,1163,0.000000,32
IterativeImprovement,1163,0.000000,32
Greedy,1163,0.000000,32
GeneticAlgorithm,1163,0.160000,32
BruteForce,1445,914.988000,33
DecreaseAndConquer,1445,43.337000,33
DivideAndConquer,1445,45.326000,33
TransformAndConquer,1445,0.000000,33
SpaceAndTimeTradeOffs,1445,0.000000,33
DynamicProgramming,1445,0.000000,33
IterativeImprovement,1445,0.000000,33
Greedy,1445,0.000000,33
GeneticAlgorithm,1445,0.159000,33
BruteForce,1306,1882.624000,34
DecreaseAndConquer,1306,87.422000,34
DivideAndConquer,1306,91.600000,34
TransformAndConquer,1306,0.000000,34
SpaceAndTimeTradeOffs,1306,0.000000,34
DynamicProgramming,1306,0.000000,34
IterativeImprovement,1306,0.000000,34
Greedy,1306,0.000000,34
GeneticAlgorithm,1306,0.161000,34
BruteForce,TIMED OUT,4065.231000,35
DecreaseAndConquer,1502,206.992000,35
DivideAndConquer,1502,215.091000,35
TransformAndConquer,1502,0.000000,35
SpaceAndTimeTradeOffs,1502,0.001000,35
DynamicProgramming,1502,0.001000,35
IterativeImprovement,1502,0.000000,35
Greedy,1502,0.000000,35
GeneticAlgorithm,1502,0.194000,35
BruteForce,TIMED OUT,-1.000000,36
DecreaseAndConquer,1670,416.017000,36
DivideAndConquer,1670,418.301000,36
TransformAndConquer,1670,0.000000,36
SpaceAndTimeTradeOffs,1670,0.001000,36
DynamicProgramming,1670,0.001000,36
IterativeImprovement,1670,0.000000,36
Greedy,1670,0.000000,36
GeneticAlgorithm,1670,0.175000,36
BruteForce,TIMED OUT,-1.000000,37
DecreaseAndConquer,1820,719.449000,37
DivideAndConquer,1820,697.357000,37
TransformAndConquer,1820,0.000000,37
SpaceAndTimeTradeOffs,1820,0.000000,37
DynamicProgramming,1820,0.000000,37
IterativeImprovement,1820,0.000000,37
Greedy,1820,0.000000,37
GeneticAlgorithm,1820,0.165000,37
BruteForce,TIMED OUT,-1.000000,38
DecreaseAndConquer,1560,1356.578000,38
DivideAndConquer,1560,1534.708000,38
TransformAndConquer,1560,0.000000,38
SpaceAndTimeTradeOffs,1560,0.000000,38
DynamicProgramming,1560,0.000000,38
IterativeImprovement,1560,0.000000,38
Greedy,1560,0.000000,38
GeneticAlgorithm,1560,0.170000,38
BruteForce,TIMED OUT,-1.000000,39
DecreaseAndConquer,TIMED OUT,3111.307000,39
DivideAndConquer,TIMED OUT,3198.490000,39
TransformAndConquer,1469,0.000000,39
SpaceAndTimeTradeOffs,1469,0.001000,39
DynamicProgramming,1469,0.000000,39
IterativeImprovement,1469,0.000000,39
Greedy,1469,0.000000,39
GeneticAlgorithm,1469,0.174000,39
BruteForce,TIMED OUT,-1.000000,40
DecreaseAndConquer,TIMED OUT,-1.000000,40
DivideAndConquer,TIMED OUT,-1.000000,40
TransformAndConquer,1972,0.000000,40
SpaceAndTimeTradeOffs,1972,0.000000,40
DynamicProgramming,1972,0.000000,40
IterativeImprovement,1972,0.000000,40
Greedy,1972,0.000000,40
GeneticAlgorithm,1972,0.173000,40
BruteForce,TIMED OUT,-1.000000,41
DecreaseAndConquer,TIMED OUT,-1.000000,41
DivideAndConquer,TIMED OUT,-1.000000,41
TransformAndConquer,1928,0.000000,41
SpaceAndTimeTradeOffs,1928,0.001000,41
DynamicProgramming,1928,0.000000,41
IterativeImprovement,1928,0.000000,41
Greedy,1928,0.000000,41
GeneticAlgorithm,1928,0.175000,41
BruteForce,TIMED OUT,-1.000000,42
DecreaseAndConquer,TIMED OUT,-1.000000,42
DivideAndConquer,TIMED OUT,-1.000000,42
TransformAndConquer,1963,0.000000,42
SpaceAndTimeTradeOffs,1963,0.000000,42
DynamicProgramming,1963,0.000000,42
IterativeImprovement,1963,0.000000,42
Greedy,1963,0.000000,42
GeneticAlgorithm,1963,0.179000,42
BruteForce,TIMED OUT,-1.000000,43
DecreaseAndConquer,TIMED OUT,-1.000000,43
DivideAndConquer,TIMED OUT,-1.000000,43
TransformAndConquer,2099,0.000000,43
SpaceAndTimeTradeOffs,2099,0.003000,43
DynamicProgramming,2099,0.001000,43
IterativeImprovement,2099,0.000000,43
Greedy,2099,0.000000,43
GeneticAlgorithm,2099,0.196000,43
BruteForce,TIMED OUT,-1.000000,44
DecreaseAndConquer,TIMED OUT,-1.000000,44
DivideAndConquer,TIMED OUT,-1.000000,44
TransformAndConquer,1874,0.000000,44
SpaceAndTimeTradeOffs,1874,0.001000,44
DynamicProgramming,1874,0.001000,44
IterativeImprovement,1874,0.000000,44
Greedy,1874,0.000000,44
GeneticAlgorithm,1874,0.194000,44
BruteForce,TIMED OUT,-1.000000,45
DecreaseAndConquer,TIMED OUT,-1.000000,45
DivideAndConquer,TIMED OUT,-1.000000,45
TransformAndConquer,1924,0.000000,45
SpaceAndTimeTradeOffs,1924,0.000000,45
DynamicProgramming,1924,0.000000,45
IterativeImprovement,1924,0.000000,45
Greedy,1924,0.000000,45
GeneticAlgorithm,1924,0.187000,45
BruteForce,TIMED OUT,-1.000000,46
DecreaseAndConquer,TIMED OUT,-1.000000,46
DivideAndConquer,TIMED OUT,-1.000000,46
TransformAndConquer,2317,0.000000,46
SpaceAndTimeTradeOffs,2317,0.001000,46
DynamicProgramming,2317,0.000000,46
IterativeImprovement,2317,0.000000,46
Greedy,2317,0.000000,46
GeneticAlgorithm,2317,0.187000,46
BruteForce,TIMED OUT,-1.000000,47
DecreaseAndConquer,TIMED OUT,-1.000000,47
DivideAndConquer,TIMED OUT,-1.000000,47
TransformAndConquer,2287,0.000000,47
SpaceAndTimeTradeOffs,2287,0.001000,47
DynamicProgramming,2287,0.001000,47
IterativeImprovement,2287,0.000000,47
Greedy,2287,0.000000,47
GeneticAlgorithm,2287,0.193000,47
BruteForce,TIMED OUT,-1.000000,48
DecreaseAndConquer,TIMED OUT,-1.000000,48
DivideAndConquer,TIMED OUT,-1.000000,48
TransformAndConquer,2305,0.000000,48
SpaceAndTimeTradeOffs,2305,0.000000,48
DynamicProgramming,2305,0.000000,48
IterativeImprovement,2305,0.000000,48
Greedy,2305,0.000000,48
GeneticAlgorithm,2305,0.197000,48
BruteForce,TIMED OUT,-1.000000,49
DecreaseAndConquer,TIMED OUT,-1.000000,49
DivideAndConquer,TIMED OUT,-1.000000,49
TransformAndConquer,2623,0.000000,49
SpaceAndTimeTradeOffs,2623,0.000000,49
DynamicProgramming,2623,0.000000,49
IterativeImprovement,2623,0.000000,49
Greedy,2623,0.000000,49
GeneticAlgorithm,2623,0.193000,49
BruteForce,TIMED OUT,-1.000000,50
DecreaseAndConquer,TIMED OUT,-1.000000,50
DivideAndConquer,TIMED OUT,-1.000000,50
TransformAndConquer,5825,0.000000,50
SpaceAndTimeTradeOffs,5825,0.000000,50
DynamicProgramming,5825,0.001000,50
IterativeImprovement,5825,0.000000,50
Greedy,5825,0.000000,50
GeneticAlgorithm,5825,0.196000,50
BruteForce,TIMED OUT,-1.000000,51
DecreaseAndConquer,TIMED OUT,-1.000000,51
DivideAndConquer,TIMED OUT,-1.000000,51
TransformAndConquer,2274,0.000000,51
SpaceAndTimeTradeOffs,2274,0.000000,51
DynamicProgramming,2274,0.001000,51
IterativeImprovement,2274,0.000000,51
Greedy,2274,0.000000,51
GeneticAlgorithm,2274,0.200000,51
BruteForce,TIMED OUT,-1.000000,52
DecreaseAndConquer,TIMED OUT,-1.000000,52
DivideAndConquer,TIMED OUT,-1.000000,52
TransformAndConquer,2296,0.000000,52
SpaceAndTimeTradeOffs,2296,0.000000,52
DynamicProgramming,2296,0.001000,52
IterativeImprovement,2296,0.000000,52
Greedy,2296,0.000000,52
GeneticAlgorithm,2296,0.203000,52
BruteForce,TIMED OUT,-1.000000,53
DecreaseAndConquer,TIMED OUT,-1.000000,53
DivideAndConquer,TIMED OUT,-1.000000,53
TransformAndConquer,2560,0.000000,53
SpaceAndTimeTradeOffs,2560,0.000000,53
DynamicProgramming,2560,0.001000,53
IterativeImprovement,2560,0.000000,53
Greedy,2560,0.000000,53
GeneticAlgorithm,2560,0.207000,53
BruteForce,TIMED OUT,-1.000000,54
DecreaseAndConquer,TIMED OUT,-1.000000,54
DivideAndConquer,TIMED OUT,-1.000000,54
TransformAndConquer,2554,0.000000,54
